eta,momentum,05.sty,10.sty,01.05.2001,10.05.2001,1-5-5-1,5-10-1-1,5-5-5-5-1,1-5-10-5-1
0.000976563,0,68165.83515,67911.12214,67668.30497,67626.88774,67535.23607,68068.72337,67404.82322,67211.29834
0.000976563,0.25,66404.77535,65149.57723,65610.13193,65870.71722,66565.21169,67672.29076,66681.91663,66626.29777
0.000976563,0.5,63129.05943,60440.4647,63826.52343,62632.55967,66063.80607,67248.03108,66436.01936,66436.17306
0.000976563,0.75,58725.10941,55947.67083,62816.48923,57587.36268,62932.53892,66778.37855,66361.2454,66400.7445
0.001953125,0,57385.92402,54723.54182,62697.27612,55916.17745,60314.04097,66655.18806,66325.4296,66402.37532
0.001953125,0.25,56055.68065,53562.25381,62627.25283,54101.29769,58231.87112,66551.68319,66264.08104,66397.90084
0.001953125,0.5,54661.4754,52561.60803,62588.66202,52041.42696,56727.31354,66468.31591,66211.11051,66390.71915
0.001953125,0.75,53092.7756,51691.59403,62553.88763,49554.86483,55494.06198,66411.38982,66171.98778,66376.36299
0.00390625,0,52634.67217,51499.28508,62548.65352,48979.40281,54257.15138,64911.82812,66181.40375,66361.51366
0.00390625,0.25,52208.42392,51345.65421,62535.88024,48304.02717,52828.69557,62299.75479,66176.54957,66243.74563
0.00390625,0.5,51806.04995,51228.23641,62519.97066,47989.46136,52008.99092,59432.2767,66157.83898,65840.29538
0.00390625,0.75,51419.05268,51154.92343,62498.3851,46546.05712,52131.88754,55651.62854,66115.69715,55579.87053
0.0078125,0,51331.23249,51154.78006,62506.34969,46367.44948,52837.11482,55568.97554,66136.75205,55364.18246
0.0078125,0.25,51253.41599,51140.43386,62490.43142,45956.05679,52526.20953,55458.14172,66144.91923,55301.13481
0.0078125,0.5,51196.00994,51126.44211,62465.38095,45572.07752,52395.05863,55373.60961,66115.43021,55221.31264
0.0078125,0.75,51166.21305,51116.15057,62442.32231,45084.55175,54075.74377,55323.47896,66044.43574,55233.12413
0.015625,0,60353.58746,53991.81202,62599.2234,53372.89824,58717.08558,66484.78757,66198.85815,66390.15345
0.015625,0.25,55663.32302,51614.80401,62517.27039,49563.86806,54910.78784,60950.44776,56705.70593,66127.7599
0.015625,0.5,53181.88664,51214.64987,62463.21121,49019.82704,54709.40551,56185.24668,55074.74987,55804.41946
0.015625,0.75,53073.34054,51180.4119,62401.3188,47574.45534,54386.98407,55347.54778,54703.90739,55565.73673
0.03125,0,53285.19006,51161.97923,62445.63147,55308.69465,54902.21593,55317.97306,57443.9047,66357.67088
0.03125,0.25,52771.60724,51229.55404,62422.52334,55292.36405,54909.44228,55305.4983,57424.75825,66353.35558
0.03125,0.5,53454.68641,51038.52726,62342.83102,55261.1721,55289.51703,55293.84335,57377.66258,66302.42547
0.03125,0.75,54180.86387,51074.94112,62289.67455,51717.04333,55143.20767,55282.65851,57343.94961,66131.07208
0.0625,0,53659.26949,53393.40971,62356.18494,54500.86702,54873.37306,55303.64688,57409.86511,66210.32183
0.0625,0.25,53923.85701,53291.29922,62293.27607,55256.35386,55518.26087,55299.14918,57413.55528,66286.82744
0.0625,0.5,54296.37994,53133.49837,62283.40399,55167.19599,55439.91041,55282.48924,57390.13887,66195.48395
0.0625,0.75,54260.8807,53206.73177,62076.0665,54910.8204,55453.3942,55264.97903,57304.72072,65972.90053
0.125,0,54285.58664,54146.79939,62177.17278,52655.12463,55361.90848,55297.63004,57388.03502,65840.20884
0.125,0.25,54298.75782,53540.87247,62187.48258,55151.80381,55434.2984,55286.00768,57375.82802,66038.06919
0.125,0.5,54297.58354,54056.87673,62023.46167,55057.98305,55343.38729,55240.35479,57309.03889,65913.72786
0.125,0.75,54232.42479,53241.00116,61864.73995,54952.37656,55132.59984,55209.11886,57140.78337,65679.19628
0.25,0,54620.66278,53874.09868,61295.05871,55137.70345,55280.92576,55282.89925,57318.20482,64754.13773
0.25,0.25,54518.72987,53012.0245,61797.13768,55107.96761,55227.2594,55265.38219,57335.77377,64690.14378
