eta;momentum;5-1;10-1;1-5-1;10-5-1;1-5-5-1;5-10-1-1;5-5-5-5-1;1-5-10-5-1
0.0009765625;0.0;60260.17872057945;59666.84755860329;63560.17969939268;59664.27401119052;65878.62410488048;67192.18654931638;66422.114937444;66408.60535741175
0.0009765625;0.25;55139.601029526006;53994.37150692153;62431.9942769525;53168.93230025051;60006.38360592769;66610.46116155946;66331.11115844315;66370.52891437428
0.0009765625;0.5;52268.46680044883;51412.298725367145;62327.89600509875;48910.720777825445;54663.52260528555;66429.43903536917;54407.090589101645;59407.747175944285
0.0009765625;0.75;50522.26450511817;50059.42527895358;62277.45743075518;45780.91022221725;49432.91693916645;66394.78423553535;47333.02735428376;52432.11930223552
0.001953125;0.0;50190.82551898506;49905.84706141166;62278.754971238835;45030.94452937663;48911.64911414832;66399.68016484716;46370.594575031646;51928.71439963762
0.001953125;0.25;49984.049323358005;49568.46562184662;62267.352855561665;44278.78802805347;48529.97039261668;66397.804209591;45232.92959881834;50729.75245846811
0.001953125;0.5;49736.63275017095;49282.449976648946;62248.765109941276;43568.334696692866;48207.28954177274;66395.05891810125;44300.325637521215;50954.38149865578
0.001953125;0.75;49188.90736149556;49140.70299814009;62204.71218462206;42585.07193734285;48554.694811400725;57462.391663300965;43434.99467280098;52782.568904891334
0.00390625;0.0;49143.97389353309;49037.32920067279;62239.148371093564;42679.097832338826;48969.54913752666;53536.19714199273;43475.28258771693;54094.57251594222
0.00390625;0.25;49045.16760916743;48875.53493143432;62231.4559307536;42346.40466414427;48481.14130631919;50709.01884532513;43140.96122867982;53097.72851154617
0.00390625;0.5;48949.04824995577;48883.70344625194;62202.02904265144;41896.37205960555;49318.075386837;49023.54771490826;42813.29198581943;53232.954788594994
0.00390625;0.75;49143.40140969535;48966.11473587567;62142.92049174954;41252.7018535577;50641.04642547875;47994.97499520671;42447.60007697808;54459.23452344158
0.0078125;0.0;49328.526224467896;49060.27440887001;62211.01754969775;41530.41361417435;51641.30090471996;50270.709889142294;42651.57958805976;54975.55501119263
0.0078125;0.25;49270.30910816189;48872.41522908006;62192.799635618394;41220.11102667995;51423.748162998665;49806.132598032375;43148.76978557205;54528.34606813946
0.0078125;0.5;49303.007742586015;48924.12587115291;62149.44949712579;40436.34492709963;52652.60863395248;50778.58071780443;42996.2227668102;54461.4335287341
0.0078125;0.75;49574.187662956974;49044.25930930226;62036.67117182017;39962.36584079352;52988.3497933171;55130.62332346367;42289.65902808198;54278.69961557563
0.015625;0.0;51597.36144404566;49779.58980706315;62217.452872898284;48511.50817478368;53844.71600772495;52194.36221472909;54324.713417955725;54621.35175180031
0.015625;0.25;50824.522907113096;49355.3533119933;62169.408700327825;49079.144684480576;54195.248499804155;51503.4168969292;54356.61656070892;54454.9757602966
0.015625;0.5;51100.78302547951;49300.58669749321;62127.48312766603;50194.434996757365;54389.1200188609;68420.90556866882;54661.39935866937;54473.546451744216
