eta,momentum,Sigmoid, TanH, ReLU
0.0078125,0.0,59306.36860118314,61676.63842402691,67137.08833825328
0.0078125,0.25,54315.43785057948,61638.8214486881,67150.96517150452
0.0078125,0.5,52211.12450909646,61607.01094276086,67101.18046665416
0.0078125,0.75,51331.224212387235,61579.1398774863,67039.9293574078
0.03125,0.0,51276.95005701903,61592.163690705966,17900.677051913328
0.03125,0.25,51343.71872967873,61560.12876150723,21080.08695142127
0.03125,0.5,51350.34321460363,61477.13969718193,20777.901159940287
0.03125,0.75,51856.67447798363,61336.27337457326,21007.911403432056
0.125,0.0,53903.7817692599,61127.45595608468,nan
0.125,0.25,54345.37629050754,60944.42466329878,nan
0.125,0.5,54054.66597309275,61139.15832483999,nan
0.125,0.75,54385.23777999382,60526.114644727946,nan
0.25,0.0,54425.116711663555,59227.403649448046,nan
0.25,0.25,54287.98374924803,60248.84260701483,nan
0.25,0.5,54719.755405939926,nan,nan
0.25,0.75,54269.27327219258,nan,nan
0.5,0.0,53435.565393674275,nan,nan
0.5,0.25,54596.911098981014,nan,nan
0.5,0.5,53830.940612885206,nan,nan
0.5,0.75,53341.19118772929,nan,nan
1,0.0,51081.177126788185,nan,nan
1,0.25,52564.04521093696,nan,nan
1,0.5,53640.92615072368,nan,nan
1,0.75,52343.50836704876,nan,nan
2,0.0,60970.7496795676,nan,nan
2,0.25,nan,nan,nan
2,0.5,nan,nan,nan
2,0.75,nan,nan,nan
