eta,momentum, CrossEntropy, MSE
0.0078125,0,101.42588,102.68735
0.0078125,0.25,0.29034,0.28408
0.0078125,0.5,0.00109,0.00107
0.0078125,0.75,0.00011,0.00010
0.03125,0,0.03236,0.05284
0.03125,0.25,1299.20173,584.52854
0.03125,0.5,1295.65689,364.18591
0.03125,0.75,1291.70351,870.13212
0.125,0,1279.21346,1022.77944
0.125,0.25,1286.37457,992.15487
0.125,0.5,1268.99651,1065.63906
0.125,0.75,1231.46115,905.14827
0.25,0,1196.13674,959.27696
0.25,0.25,979.52978,1073.40772
0.25,0.5,1031.23333,1054.23926
0.25,0.75,862.39908,947.91591
0.5,0,1015.32364,994.41050
0.5,0.25,1024.14147,1001.93390
0.5,0.5,1054.52875,1009.74701
0.5,0.75,983.91272,914.97613
1,0,8844.89740,3948.62748
1,0.25,nan,nan
1,0.5,nan,nan
1,0.75,nan,nan
2,0,nan,nan
2,0.25,nan,nan
2,0.5,nan,nan
2,0.75,nan,nan
